id,turma,id_disciplina,id_semestre,id_curso,id_tipo_aula
241,T1,547,4,4,1
242,T1,547,4,4,2
243,T1,547,5,4,1
244,T1,547,5,4,2
245,T1,547,6,4,1
246,T1,547,6,4,2
247,T1,547,7,4,1
248,T1,547,7,4,2
249,T1,547,8,4,1
250,T1,547,8,4,2
251,T1,548,4,4,1
252,T1,548,4,4,2
253,T2,548,4,4,1
254,T2,548,4,4,2
255,T1,548,5,4,1
256,T1,548,5,4,2
257,T2,548,5,4,1
258,T2,548,5,4,2
259,T1,548,6,4,1
260,T1,548,6,4,2
261,T2,548,6,4,1
262,T2,548,6,4,2
263,T1,548,7,4,1
264,T1,548,7,4,2
265,T2,548,7,4,1
266,T2,548,7,4,2
267,T1,548,8,4,1
268,T1,548,8,4,2
269,T2,548,8,4,1
270,T2,548,8,4,2
271,T1,549,4,4,1
272,T1,549,4,4,2
273,T1,549,5,4,1
274,T1,549,5,4,2
275,T1,549,6,4,1
276,T1,549,6,4,2
277,T1,549,7,4,1
278,T1,549,7,4,2
279,T1,549,8,4,1
280,T1,549,8,4,2
281,T1,550,4,4,1
282,T1,550,4,4,2
283,T1,550,5,4,1
284,T1,550,5,4,2
285,T1,550,6,4,1
286,T1,550,6,4,2
287,T1,550,7,4,1
288,T1,550,7,4,2
289,T1,550,8,4,1
290,T1,550,8,4,2
291,T1,551,4,4,1
292,T1,551,4,4,2
293,T1,551,5,4,1
294,T1,551,5,4,2
295,T1,551,6,4,1
296,T1,551,6,4,2
297,T1,551,7,4,1
298,T1,551,7,4,2
299,T1,551,8,4,1
300,T1,551,8,4,2
301,T1,552,4,4,1
302,T1,552,4,4,2
303,T2,552,4,4,1
304,T2,552,4,4,2
305,T1,552,5,4,1
306,T1,552,5,4,2
307,T2,552,5,4,1
308,T2,552,5,4,2
309,T1,552,6,4,1
310,T1,552,6,4,2
311,T2,552,6,4,1
312,T2,552,6,4,2
313,T1,552,7,4,1
314,T1,552,7,4,2
315,T2,552,7,4,1
316,T2,552,7,4,2
317,T1,552,8,4,1
318,T1,552,8,4,2
319,T2,552,8,4,1
320,T2,552,8,4,2
321,T1,555,4,4,1
322,T1,555,4,4,2
323,T2,555,4,4,1
324,T2,555,4,4,2
325,T1,555,5,4,1
326,T1,555,5,4,2
327,T2,555,5,4,1
328,T2,555,5,4,2
329,T1,555,6,4,1
330,T1,555,6,4,2
331,T2,555,6,4,1
332,T2,555,6,4,2
333,T1,555,7,4,1
334,T1,555,7,4,2
335,T2,555,7,4,1
336,T2,555,7,4,2
337,T1,555,8,4,1
338,T1,555,8,4,2
339,T2,555,8,4,1
340,T2,555,8,4,2
341,T1,556,4,4,1
342,T1,556,4,4,2
343,T2,556,4,4,1
344,T2,556,4,4,2
345,T1,556,5,4,1
346,T1,556,5,4,2
347,T2,556,5,4,1
348,T2,556,5,4,2
349,T1,556,6,4,1
350,T1,556,6,4,2
351,T2,556,6,4,1
352,T2,556,6,4,2
353,T1,556,7,4,1
354,T1,556,7,4,2
355,T2,556,7,4,1
356,T2,556,7,4,2
357,T1,556,8,4,1
358,T1,556,8,4,2
359,T2,556,8,4,1
360,T2,556,8,4,2
361,T1,557,4,4,1
362,T1,557,4,4,2
363,T2,557,4,4,1
364,T2,557,4,4,2
365,T1,557,5,4,1
366,T1,557,5,4,2
367,T2,557,5,4,1
368,T2,557,5,4,2
369,T1,557,6,4,1
370,T1,557,6,4,2
371,T2,557,6,4,1
372,T2,557,6,4,2
373,T1,557,7,4,1
374,T1,557,7,4,2
375,T2,557,7,4,1
376,T2,557,7,4,2
377,T1,557,8,4,1
378,T1,557,8,4,2
379,T2,557,8,4,1
380,T2,557,8,4,2
381,T1,558,4,4,1
382,T1,558,4,4,2
383,T2,558,4,4,1
384,T2,558,4,4,2
385,T1,558,5,4,1
386,T1,558,5,4,2
387,T2,558,5,4,1
388,T2,558,5,4,2
389,T1,558,6,4,1
390,T1,558,6,4,2
391,T2,558,6,4,1
392,T2,558,6,4,2
393,T1,558,7,4,1
394,T1,558,7,4,2
395,T2,558,7,4,1
396,T2,558,7,4,2
397,T1,558,8,4,1
398,T1,558,8,4,2
399,T2,558,8,4,1
400,T2,558,8,4,2
401,T1,559,4,4,1
402,T1,559,4,4,2
403,T1,559,5,4,1
404,T1,559,5,4,2
405,T1,559,6,4,1
406,T1,559,6,4,2
407,T1,559,7,4,1
408,T1,559,7,4,2
409,T1,559,8,4,1
410,T1,559,8,4,2
411,T1,560,4,4,1
412,T1,560,4,4,2
413,T1,560,5,4,1
414,T1,560,5,4,2
415,T1,560,6,4,1
416,T1,560,6,4,2
417,T1,560,7,4,1
418,T1,560,7,4,2
419,T1,560,8,4,1
420,T1,560,8,4,2
421,T1,561,4,4,1
422,T1,561,4,4,2
423,T1,561,5,4,1
424,T1,561,5,4,2
425,T1,561,6,4,1
426,T1,561,6,4,2
427,T1,561,7,4,1
428,T1,561,7,4,2
429,T1,561,8,4,1
430,T1,561,8,4,2
431,T1,562,4,4,1
432,T1,562,4,4,2
433,T1,562,5,4,1
434,T1,562,5,4,2
435,T1,562,6,4,1
436,T1,562,6,4,2
437,T1,562,7,4,1
438,T1,562,7,4,2
439,T1,562,8,4,1
440,T1,562,8,4,2
441,T1,565,4,4,1
442,T1,565,4,4,2
443,T2,565,4,4,1
444,T2,565,4,4,2
445,T1,565,5,4,1
446,T1,565,5,4,2
447,T2,565,5,4,1
448,T2,565,5,4,2
449,T1,565,6,4,1
450,T1,565,6,4,2
451,T2,565,6,4,1
452,T2,565,6,4,2
453,T1,565,7,4,1
454,T1,565,7,4,2
455,T2,565,7,4,1
456,T2,565,7,4,2
457,T1,565,8,4,1
458,T1,565,8,4,2
459,T2,565,8,4,1
460,T2,565,8,4,2
461,T1,566,4,4,1
462,T1,566,4,4,2
463,T1,566,5,4,1
464,T1,566,5,4,2
465,T1,566,6,4,1
466,T1,566,6,4,2
467,T1,566,7,4,1
468,T1,566,7,4,2
469,T1,566,8,4,1
470,T1,566,8,4,2
471,T1,567,4,4,1
472,T1,567,4,4,2
473,T1,567,5,4,1
474,T1,567,5,4,2
475,T1,567,6,4,1
476,T1,567,6,4,2
477,T1,567,7,4,1
478,T1,567,7,4,2
479,T1,567,8,4,1
480,T1,567,8,4,2
481,T1,568,4,4,1
482,T1,568,4,4,2
483,T2,568,4,4,1
484,T2,568,4,4,2
485,T1,568,5,4,1
486,T1,568,5,4,2
487,T2,568,5,4,1
488,T2,568,5,4,2
489,T1,568,6,4,1
490,T1,568,6,4,2
491,T2,568,6,4,1
492,T2,568,6,4,2
493,T1,568,7,4,1
494,T1,568,7,4,2
495,T2,568,7,4,1
496,T2,568,7,4,2
497,T1,568,8,4,1
498,T1,568,8,4,2
499,T2,568,8,4,1
500,T2,568,8,4,2
501,T1,570,4,4,1
502,T1,570,4,4,2
503,T1,570,5,4,1
504,T1,570,5,4,2
505,T1,570,6,4,1
506,T1,570,6,4,2
507,T1,570,7,4,1
508,T1,570,7,4,2
509,T1,570,8,4,1
510,T1,570,8,4,2
511,T1,571,4,4,1
512,T1,571,4,4,2
513,T1,571,5,4,1
514,T1,571,5,4,2
515,T1,571,6,4,1
516,T1,571,6,4,2
517,T1,571,7,4,1
518,T1,571,7,4,2
519,T1,571,8,4,1
520,T1,571,8,4,2
521,T1,574,4,4,1
522,T1,574,4,4,2
523,T1,574,5,4,1
524,T1,574,5,4,2
525,T1,574,6,4,1
526,T1,574,6,4,2
527,T1,574,7,4,1
528,T1,574,7,4,2
529,T1,574,8,4,1
530,T1,574,8,4,2
531,T1,575,4,4,1
532,T1,575,4,4,2
533,T1,575,5,4,1
534,T1,575,5,4,2
535,T1,575,6,4,1
536,T1,575,6,4,2
537,T1,575,7,4,1
538,T1,575,7,4,2
539,T1,575,8,4,1
540,T1,575,8,4,2
541,T1,576,4,4,1
542,T1,576,4,4,2
543,T1,576,5,4,1
544,T1,576,5,4,2
545,T1,576,6,4,1
546,T1,576,6,4,2
547,T1,576,7,4,1
548,T1,576,7,4,2
549,T1,576,8,4,1
550,T1,576,8,4,2
551,T1,577,4,4,1
552,T1,577,4,4,2
553,T1,577,5,4,1
554,T1,577,5,4,2
555,T1,577,6,4,1
556,T1,577,6,4,2
557,T1,577,7,4,1
558,T1,577,7,4,2
559,T1,577,8,4,1
560,T1,577,8,4,2
561,T1,578,4,4,1
562,T1,578,4,4,2
563,T1,578,5,4,1
564,T1,578,5,4,2
565,T1,578,6,4,1
566,T1,578,6,4,2
567,T1,578,7,4,1
568,T1,578,7,4,2
569,T1,578,8,4,1
570,T1,578,8,4,2
